,,,,,,,,,,,,
Code,Українська мова,Математика,Історія України,Англійська мова,Німецька мова,Французька мова,Іспанська мова,Біологія,Фізика,Хімія,Українська література,Географія
,Українська мова,Математика,Історія України,Англійська мова,Німецька мова,Французька мова,Іспанська мова,Біологія,Фізика,Хімія,Українська література,Географія
A2,"0,35","0,35","0,4","0,4","0,4","0,4","0,4","0,4","0,35","0,35","0,35","0,4"
A3,"0,35","0,35","0,4","0,4","0,4","0,4","0,4","0,4","0,35","0,35","0,35","0,4"
A4,"0,5","0,2","0,3","0,4","0,4","0,4","0,4","0,25","0,3","0,3","0,5","0,3"
A5,"0,4","0,3","0,3","0,5","0,5","0,5","0,5","0,25","0,35","0,35","0,4","0,3"
A6,"0,3","0,2","0,5","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3","0,3"
A7,"0,3","0,5","0,2","0,4","0,4","0,4","0,4","0,3","0,5","0,4","0,2","0,2"
B1,"0,3","0,35","0,35","0,4","0,4","0,4","0,4","0,5","0,4","0,4","0,3","0,4"
B2,"0,3","0,35","0,35","0,4","0,4","0,4","0,4","0,4","0,4","0,5","0,3","0,35"
B3,"0,3","0,35","0,35","0,4","0,4","0,4","0,4","0,4","0,4","0,4","0,3","0,5"
B4,"0,3","0,5","0,2","0,4","0,4","0,4","0,4","0,3","0,5","0,4","0,2","0,2"
B5,"0,35","0,5","0,25","0,3","0,3","0,3","0,3","0,3","0,5","0,4","0,3","0,25"
B6,"0,35","0,5","0,25","0,25","0,25","0,25","0,25","0,3","0,5","0,4","0,3","0,25"
B7,"0,4","0,3","0,4","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,3","0,4"
B8,"0,4","0,25","0,35","0,35","0,35","0,35","0,35","0,2","0,3","0,3","0,35","0,35"
B9,"0,4","0,25","0,35","0,35","0,35","0,35","0,35","0,2","0,3","0,3","0,35","0,35"
B10,"0,35","0,5","0,25","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,3","0,4"
B11,"0,4","0,3","0,4","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,3","0,4"
B12,"0,35","0,5","0,25","0,3","0,3","0,3","0,3","0,3","0,4","0,4","0,2","0,25"
B13,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,3","0,4","0,4","0,3","0,25"
C1,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,4","0,4","0,3","0,3"
C2,"0,25","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
C3,"0,25","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
C4,"0,25","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2","0,2"
C5,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
C6,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
C7,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
D1,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
D2,"0,35","0,25","0,5","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,45","0,35"
D3,"0,3","0,25","0,45","0,45","0,45","0,45","0,45","0,2","0,3","0,3","0,45","0,25"
D4,"0,35","0,25","0,5","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,45","0,35"
D5,"0,35","0,25","0,5","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,45","0,35"
D6,"0,5","0,25","0,25","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,5","0,25"
D7,"0,4","0,3","0,3","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,4","0,3"
D8,"0,35","0,25","0,5","0,3","0,3","0,3","0,3","0,2","0,3","0,3","0,4","0,4"
D9,"0,35","0,25","0,5","0,3","0,3","0,3","0,3","0,2","0,3","0,3","0,4","0,4"
E1,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
E2,"0,45","0,4","0,4","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,3","0,4"
E3,"0,45","0,4","0,4","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,3","0,4"
E4,"0,35","0,4","0,25","0,3","0,3","0,3","0,3","0,4","0,3","0,3","0,25","0,25"
E5,"0,35","0,4","0,25","0,3","0,3","0,3","0,3","0,2","0,3","0,3","0,25","0,25"
E6,"0,3","0,35","0,35","0,35","0,35","0,35","0,35","0,35","0,4","0,4","0,2","0,5"
E7,"0,45","0,4","0,4","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,4","0,3"
E8,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
F1,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
F2,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
F3,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
F4,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
F5,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
F6,"0,45","0,4","0,4","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,4","0,3"
F7,"0,45","0,4","0,4","0,5","0,5","0,5","0,5","0,2","0,3","0,3","0,3","0,4"
G1,"0,3","0,35","0,35","0,3","0,3","0,3","0,3","0,5","0,45","0,45","0,3","0,4"
G2,"0,3","0,35","0,35","0,3","0,3","0,3","0,3","0,5","0,45","0,45","0,3","0,4"
G3,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,35","0,5","0,5","0,2","0,2"
G4,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,35","0,5","0,5","0,2","0,5"
G5,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,25","0,5","0,4","0,2","0,2"
G6,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,25","0,5","0,4","0,2","0,2"
G7,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G8,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G9,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G10,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G11,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G12,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G13,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G14,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G15,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,2"
G16,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,3","0,3","0,5","0,2","0,2"
G17,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,2","0,2"
G18,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
G19,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
G20,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
G21,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
G22,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H1,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H2,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
H3,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H4,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
H5,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H6,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
H7,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,4","0,4","0,4","0,2","0,2"
I1,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,2","0,2"
I2,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
I3,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,2","0,3"
I4,"0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1","0,1"
I5,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,4","0,3","0,2","0,3"
I6,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
I7,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,5","0,2","0,2"
I8,"0,35","0,35","0,3","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,25","0,3"
I9,"0,35","0,35","0,3","0,3","0,3","0,3","0,3","0,5","0,5","0,5","0,25","0,3"
I10,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
I11,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J2,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J3,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J4,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J5,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,4","0,4","0,25","0,25"
J6,"0,4","0,3","0,3","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,3","0,3"
J7,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
J8,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
K3,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
K4,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
K8,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
K9,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
K10,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,4","0,4","0,4","0,4","0,5","0,5","0,5","0,25","0,25"
,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,35","0,35","0,35","0,35","0,5","0,4","0,4","0,25","0,25"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,2","0,3","0,3","0,25","0,35"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,35","0,4","0,4","0,25","0,25"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,5","0,5","0,5","0,5","0,2","0,4","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,25","0,25","0,25","0,25","0,2","0,5","0,3","0,2","0,2"
,"0,3","0,5","0,2","0,3","0,3","0,3","0,3","0,2","0,5","0,3","0,2","0,2"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,35","0,4","0,4","0,25","0,25"
,"0,35","0,3","0,35","0,35","0,35","0,35","0,35","0,3","0,35","0,35","0,25","0,35"
,"0,35","0,4","0,25","0,25","0,25","0,25","0,25","0,35","0,4","0,4","0,25","0,25"